"cond_open","cond_close","stop_loss","profit","deals"
-1.8,1.5,-10,"-19.64",30
-1.8,1.5,-20,"-18.83",29
-1.8,1.5,-30,"14.01",26
-1.8,1.6,-10,"-19.58",29
-1.8,1.6,-20,"-18.76",28
-1.8,1.6,-30,"14.10",25
-1.8,1.7,-10,"-19.25",29
-1.8,1.7,-20,"-18.43",28
-1.8,1.7,-30,"15.38",24
-1.8,1.8,-10,"-18.54",28
-1.8,1.8,-20,"-17.72",27
-1.8,1.8,-30,"16.41",23
-1.8,1.9,-10,"-17.13",27
-1.8,1.9,-20,"-16.30",26
-1.8,1.9,-30,"18.47",23
-1.8,2,-10,"-20.50",25
-1.8,2,-20,"-19.67",24
-1.8,2,-30,"13.59",21
-1.8,2.1,-10,"-19.96",25
-1.8,2.1,-20,"-19.12",24
-1.8,2.1,-30,"14.38",21
-1.8,2.2,-10,"-20.12",24
-1.8,2.2,-20,"-19.29",23
-1.8,2.2,-30,"14.13",20
-1.8,2.3,-10,"-19.13",24
-1.8,2.3,-20,"-18.30",23
-1.8,2.3,-30,"15.57",20
-1.8,2.4,-10,"-18.09",24
-1.8,2.4,-20,"-17.25",23
-1.8,2.4,-30,"17.07",20
-1.8,2.5,-10,"-14.19",24
-1.8,2.5,-20,"-13.32",23
-1.8,2.5,-30,"18.47",20
-1.8,2.6,-10,"-21.22",24
-1.8,2.6,-20,"-27.17",23
-1.8,2.6,-30,"-14.24",18
-1.8,2.7,-10,"-23.26",23
-1.8,2.7,-20,"-29.02",22
-1.8,2.7,-30,"-16.52",17
-1.8,2.8,-10,"-24.34",22
-1.8,2.8,-20,"-30.01",21
-1.8,2.8,-30,"-15.29",16
-1.8,2.9,-10,"-23.84",22
-1.8,2.9,-20,"-29.55",21
-1.8,2.9,-30,"-14.91",16
-1.8,3,-10,"-24.88",21
-1.8,3,-20,"-30.49",20
-1.8,3,-30,"-16.12",15
-1.7,0.1,-10,"-14.25",62
-1.7,0.1,-20,"-5.09",61
-1.7,0.1,-30,"43.49",58
-1.7,0.2,-10,"-11.80",61
-1.7,0.2,-20,"-2.40",60
-1.7,0.2,-30,"47.61",57
-1.7,0.3,-10,"-16.99",59
-1.7,0.3,-20,"-0.19",57
-1.7,0.3,-30,"55.44",54
-1.7,0.4,-10,"-7.66",57
-1.7,0.4,-20,"2.13",56
-1.7,0.4,-30,"59.12",53
-1.7,0.5,-10,"-7.02",55
-1.7,0.5,-20,"2.84",54
-1.7,0.5,-30,"60.24",51
-1.7,0.6,-10,"-4.18",55
-1.7,0.6,-20,"5.96",54
-1.7,0.6,-30,"65.15",51
-1.7,0.7,-10,"-3.63",54
-1.7,0.7,-20,"6.57",53
-1.7,0.7,-30,"66.10",50
-1.7,0.8,-10,"-13.54",42
-1.7,0.8,-20,"-4.29",41
-1.7,0.8,-30,"48.90",38
-1.7,0.9,-10,"-12.25",40
-1.7,0.9,-20,"-2.87",39
-1.7,0.9,-30,"51.14",36
-1.7,1,-10,"-12.66",37
-1.7,1,-20,"-3.31",36
-1.7,1,-30,"50.43",33
-1.7,1.1,-10,"-12.38",35
-1.7,1.1,-20,"-3.00",34
-1.7,1.1,-30,"50.92",31
-1.7,1.2,-10,"-15.75",32
-1.7,1.2,-20,"-6.70",31
-1.7,1.2,-30,"45.07",28
-1.7,1.3,-10,"-25.31",31
-1.7,1.3,-20,"-24.58",30
-1.7,1.3,-30,"10.03",26
-1.7,1.4,-10,"-24.65",31
-1.7,1.4,-20,"-23.92",30
-1.7,1.4,-30,"11.01",26
-1.7,1.5,-10,"-34.35",33
-1.7,1.5,-20,"-21.72",29
-1.7,1.5,-30,"14.30",25
-1.7,1.6,-10,"-35.09",31
-1.7,1.6,-20,"-22.68",27
-1.7,1.6,-30,"12.86",23
-1.7,1.7,-10,"-34.75",31
-1.7,1.7,-20,"-21.89",27
-1.7,1.7,-30,"14.04",23
-1.7,1.8,-10,"-34.26",30
-1.7,1.8,-20,"-21.40",26
-1.7,1.8,-30,"14.76",22
-1.7,1.9,-10,"-33.09",29
-1.7,1.9,-20,"-20.33",25
-1.7,1.9,-30,"16.38",22
-1.7,2,-10,"-30.07",26
-1.7,2,-20,"-23.29",23
-1.7,2,-30,"11.93",20
-1.7,2.1,-10,"-29.65",26
-1.7,2.1,-20,"-22.21",23
-1.7,2.1,-30,"11.75",19
-1.7,2.2,-10,"-29.83",25
-1.7,2.2,-20,"-22.62",22
-1.7,2.2,-30,"11.33",18
-1.7,2.3,-10,"-28.69",25
-1.7,2.3,-20,"-21.44",22
-1.7,2.3,-30,"12.53",18
-1.7,2.4,-10,"-27.77",25
-1.7,2.4,-20,"-20.55",22
-1.7,2.4,-30,"14.81",18
-1.7,2.5,-10,"-24.35",25
-1.7,2.5,-20,"-17.01",22
-1.7,2.5,-30,"15.86",18
-1.7,2.6,-10,"-30.69",25
-1.7,2.6,-20,"-28.80",24
-1.7,2.6,-30,"-14.39",18
-1.7,2.7,-10,"-32.49",24
-1.7,2.7,-20,"-30.61",23
-1.7,2.7,-30,"-15.71",17
-1.7,2.8,-10,"-33.50",23
-1.7,2.8,-20,"-31.58",22
-1.7,2.8,-30,"-17.07",16
-1.7,2.9,-10,"-33.15",23
-1.7,2.9,-20,"-31.13",22
-1.7,2.9,-30,"-16.70",16
-1.7,3,-10,"-34.05",22
-1.7,3,-20,"-32.05",21
-1.7,3,-30,"-17.88",15
-1.6,0.1,-10,"-12.40",71
-1.6,0.1,-20,"-3.05",70
-1.6,0.1,-30,"46.60",67
-1.6,0.2,-10,"-9.61",70
-1.6,0.2,-20,"0.00",69
-1.6,0.2,-30,"51.29",66
-1.6,0.3,-10,"-14.26",68
-1.6,0.3,-20,"3.07",66
-1.6,0.3,-30,"60.56",63
-1.6,0.4,-10,"-3.82",66
-1.6,0.4,-20,"6.35",65
-1.6,0.4,-30,"65.76",62
-1.6,0.5,-10,"-2.47",64
-1.6,0.5,-20,"7.84",63
-1.6,0.5,-30,"68.11",60
-1.6,0.6,-10,"1.61",64
-1.6,0.6,-20,"12.32",63
-1.6,0.6,-30,"75.18",60
-1.6,0.7,-10,"2.74",63
-1.6,0.7,-20,"13.88",62
-1.6,0.7,-30,"76.81",59
-1.6,0.8,-10,"-7.49",51
-1.6,0.8,-20,"2.35",50
-1.6,0.8,-30,"59.37",47
-1.6,0.9,-10,"-4.49",49
-1.6,0.9,-20,"5.65",48
-1.6,0.9,-30,"64.56",45
-1.6,1,-10,"-4.58",46
-1.6,1,-20,"5.56",45
-1.6,1,-30,"64.41",42
-1.6,1.1,-10,"-3.38",44
-1.6,1.1,-20,"6.88",43
-1.6,1.1,-30,"66.49",40
-1.6,1.2,-10,"-6.55",41
-1.6,1.2,-20,"3.41",40
-1.6,1.2,-30,"60.98",37
-1.6,1.3,-10,"-16.85",40
-1.6,1.3,-20,"-16.11",39
-1.6,1.3,-30,"22.61",35
-1.6,1.4,-10,"-15.50",40
-1.6,1.4,-20,"-14.77",39
-1.6,1.4,-30,"24.61",35
-1.6,1.5,-10,"-25.92",42
-1.6,1.5,-20,"-12.85",37
-1.6,1.5,-30,"27.46",33
-1.6,1.6,-10,"-25.61",40
-1.6,1.6,-20,"-12.76",35
-1.6,1.6,-30,"27.57",31
-1.6,1.7,-10,"-25.16",40
-1.6,1.7,-20,"-11.81",35
-1.6,1.7,-30,"28.98",31
-1.6,1.8,-10,"-24.25",39
-1.6,1.8,-20,"-10.85",34
-1.6,1.8,-30,"30.40",30
-1.6,1.9,-10,"-22.56",38
-1.6,1.9,-20,"-9.31",33
-1.6,1.9,-30,"32.72",30
-1.6,2,-10,"-18.49",35
-1.6,2,-20,"-12.48",31
-1.6,2,-30,"27.97",28
-1.6,2.1,-10,"-20.06",33
-1.6,2.1,-20,"-11.69",30
-1.6,2.1,-30,"29.14",27
-1.6,2.2,-10,"-21.52",31
-1.6,2.2,-20,"-13.55",28
-1.6,2.2,-30,"24.40",24
-1.6,2.3,-10,"-19.79",31
-1.6,2.3,-20,"-11.72",28
-1.6,2.3,-30,"26.54",24
-1.6,2.4,-10,"-18.56",31
-1.6,2.4,-20,"-10.51",28
-1.6,2.4,-30,"28.56",24
-1.6,2.5,-10,"-13.95",31
-1.6,2.5,-20,"-5.71",28
-1.6,2.5,-30,"31.92",24
-1.6,2.6,-10,"-22.81",30
-1.6,2.6,-20,"-20.78",29
-1.6,2.6,-30,"-4.62",23
-1.6,2.7,-10,"-31.95",29
-1.6,2.7,-20,"-36.01",28
-1.6,2.7,-30,"-29.93",22
-1.6,2.8,-10,"-32.34",28
-1.6,2.8,-20,"-36.32",27
-1.6,2.8,-30,"-30.42",21
-1.6,2.9,-10,"-32.01",28
-1.6,2.9,-20,"-35.92",27
-1.6,2.9,-30,"-30.13",21
-1.6,3,-10,"-32.62",27
-1.6,3,-20,"-36.49",26
-1.6,3,-30,"-30.80",20
-1.5,0.1,-10,"-11.50",76
-1.5,0.1,-20,"-2.07",75
-1.5,0.1,-30,"48.11",72
-1.5,0.2,-10,"-7.48",75
-1.5,0.2,-20,"2.33",74
-1.5,0.2,-30,"54.87",71
-1.5,0.3,-10,"-12.87",72
-1.5,0.3,-20,"4.73",70
-1.5,0.3,-30,"63.19",67
-1.5,0.4,-10,"-1.52",71
-1.5,0.4,-20,"8.87",70
-1.5,0.4,-30,"69.75",67
-1.5,0.5,-10,"-1.01",67
-1.5,0.5,-20,"9.43",66
-1.5,0.5,-30,"70.63",63
-1.5,0.6,-10,"2.46",67
-1.5,0.6,-20,"13.57",66
-1.5,0.6,-30,"76.32",63
-1.5,0.7,-10,"3.97",66
-1.5,0.7,-20,"15.24",65
-1.5,0.7,-30,"78.92",62
-1.5,0.8,-10,"-5.43",54
-1.5,0.8,-20,"4.62",53
-1.5,0.8,-30,"62.95",50
-1.5,0.9,-10,"-1.49",52
-1.5,0.9,-20,"8.94",51
-1.5,0.9,-30,"69.77",48
-1.5,1,-10,"-0.18",50
-1.5,1,-20,"10.38",49
-1.5,1,-30,"72.04",46
-1.5,1.1,-10,"-0.42",48
-1.5,1.1,-20,"10.13",47
-1.5,1.1,-30,"71.62",44
-1.5,1.2,-10,"-3.42",44
-1.5,1.2,-20,"6.84",43
-1.5,1.2,-30,"66.40",40
-1.5,1.3,-10,"-13.88",43
-1.5,1.3,-20,"-13.16",42
-1.5,1.3,-30,"26.87",38
-1.5,1.4,-10,"-12.49",43
-1.5,1.4,-20,"-11.76",42
-1.5,1.4,-30,"28.93",38
-1.5,1.5,-10,"-24.91",43
-1.5,1.5,-20,"-11.67",38
-1.5,1.5,-30,"29.05",34
-1.5,1.6,-10,"-24.50",41
-1.5,1.6,-20,"-11.47",36
-1.5,1.6,-30,"29.33",32
-1.5,1.7,-10,"-23.70",41
-1.5,1.7,-20,"-10.11",36
-1.5,1.7,-30,"31.35",32
-1.5,1.8,-10,"-22.96",40
-1.5,1.8,-20,"-9.35",35
-1.5,1.8,-30,"32.48",31
-1.5,1.9,-10,"-22.22",39
-1.5,1.9,-20,"-8.93",34
-1.5,1.9,-30,"34.93",31
-1.5,2,-10,"-18.05",36
-1.5,2,-20,"-12.02",32
-1.5,2,-30,"30.24",29
-1.5,2.1,-10,"-17.22",35
-1.5,2.1,-20,"-8.59",32
-1.5,2.1,-30,"33.59",29
-1.5,2.2,-10,"-18.67",33
-1.5,2.2,-20,"-10.45",30
-1.5,2.2,-30,"28.80",26
-1.5,2.3,-10,"-16.62",33
-1.5,2.3,-20,"-8.28",30
-1.5,2.3,-30,"31.41",26
-1.5,2.4,-10,"-15.17",33
-1.5,2.4,-20,"-6.82",30
-1.5,2.4,-30,"33.72",26
-1.5,2.5,-10,"-10.14",33
-1.5,2.5,-20,"-1.59",30
-1.5,2.5,-30,"37.64",26
-1.5,2.6,-10,"-19.43",32
-1.5,2.6,-20,"-17.35",31
-1.5,2.6,-30,"-0.50",25
-1.5,2.7,-10,"-30.33",30
-1.5,2.7,-20,"-34.51",29
-1.5,2.7,-30,"-28.36",23
-1.5,2.8,-10,"-30.71",29
-1.5,2.8,-20,"-34.81",28
-1.5,2.8,-30,"-28.83",22
-1.5,2.9,-10,"-30.15",29
-1.5,2.9,-20,"-34.21",28
-1.5,2.9,-30,"-28.31",22
-1.5,3,-10,"-29.10",29
-1.5,3,-20,"-33.23",28
-1.5,3,-30,"-27.28",22
-1.4,0.1,-10,"-11.05",81
-1.4,0.1,-20,"-1.57",80
-1.4,0.1,-30,"48.86",77
-1.4,0.2,-10,"-6.30",80
-1.4,0.2,-20,"3.63",79
-1.4,0.2,-30,"56.85",76
-1.4,0.3,-10,"-11.90",76
-1.4,0.3,-20,"5.88",74
-1.4,0.3,-30,"65.01",71
-1.4,0.4,-10,"-0.48",74
-1.4,0.4,-20,"10.02",73
-1.4,0.4,-30,"71.55",70
-1.4,0.5,-10,"0.39",70
-1.4,0.5,-20,"10.97",69
-1.4,0.5,-30,"73.06",66
-1.4,0.6,-10,"4.01",70
-1.4,0.6,-20,"15.28",69
-1.4,0.6,-30,"78.98",66
-1.4,0.7,-10,"5.99",68
-1.4,0.7,-20,"17.48",67
-1.4,0.7,-30,"82.40",64
-1.4,0.8,-10,"-3.59",56
-1.4,0.8,-20,"6.64",55
-1.4,0.8,-30,"66.14",52
-1.4,0.9,-10,"-8.28",54
-1.4,0.9,-20,"9.01",51
-1.4,0.9,-30,"69.89",48
-1.4,1,-10,"-6.77",51
-1.4,1,-20,"11.06",48
-1.4,1,-30,"73.11",45
-1.4,1.1,-10,"-5.52",50
-1.4,1.1,-20,"12.37",47
-1.4,1.1,-30,"75.16",44
-1.4,1.2,-10,"-9.67",46
-1.4,1.2,-20,"7.48",43
-1.4,1.2,-30,"67.42",40
-1.4,1.3,-10,"-19.17",45
-1.4,1.3,-20,"-13.21",41
-1.4,1.3,-30,"26.33",37
-1.4,1.4,-10,"-17.65",45
-1.4,1.4,-20,"-11.59",41
-1.4,1.4,-30,"28.73",37
-1.4,1.5,-10,"-29.33",45
-1.4,1.5,-20,"-12.65",37
-1.4,1.5,-30,"27.14",33
-1.4,1.6,-10,"-28.89",43
-1.4,1.6,-20,"-11.55",36
-1.4,1.6,-30,"28.74",32
-1.4,1.7,-10,"-28.02",43
-1.4,1.7,-20,"-10.11",36
-1.4,1.7,-30,"30.89",32
-1.4,1.8,-10,"-27.24",42
-1.4,1.8,-20,"-9.30",35
-1.4,1.8,-30,"32.08",31
-1.4,1.9,-10,"-26.28",41
-1.4,1.9,-20,"-8.76",34
-1.4,1.9,-30,"34.72",31
-1.4,2,-10,"-22.82",37
-1.4,2,-20,"-12.69",31
-1.4,2,-30,"28.76",28
-1.4,2.1,-10,"-22.12",36
-1.4,2.1,-20,"-9.29",31
-1.4,2.1,-30,"32.08",28
-1.4,2.2,-10,"-23.98",34
-1.4,2.2,-20,"-11.85",29
-1.4,2.2,-30,"26.28",25
-1.4,2.3,-10,"-22.01",34
-1.4,2.3,-20,"-9.84",29
-1.4,2.3,-30,"28.66",25
-1.4,2.4,-10,"-20.64",34
-1.4,2.4,-20,"-8.64",29
-1.4,2.4,-30,"30.67",25
-1.4,2.5,-10,"-15.91",34
-1.4,2.5,-20,"-3.50",29
-1.4,2.5,-30,"34.43",25
-1.4,2.6,-10,"-24.46",33
-1.4,2.6,-20,"-17.22",30
-1.4,2.6,-30,"-2.83",24
-1.4,2.7,-10,"-34.36",31
-1.4,2.7,-20,"-34.15",28
-1.4,2.7,-30,"-28.36",23
-1.4,2.8,-10,"-34.80",30
-1.4,2.8,-20,"-34.53",27
-1.4,2.8,-30,"-28.83",22
-1.4,2.9,-10,"-34.32",30
-1.4,2.9,-20,"-34.11",27
-1.4,2.9,-30,"-28.31",22
-1.4,3,-10,"-33.27",30
-1.4,3,-20,"-33.07",27
-1.4,3,-30,"-27.28",22
-1.3,0.1,-10,"-7.93",96
-1.3,0.1,-20,"1.85",95
-1.3,0.1,-30,"54.11",92
-1.3,0.2,-10,"-1.57",95
-1.3,0.2,-20,"8.83",94
-1.3,0.2,-30,"64.81",91
-1.3,0.3,-10,"-5.34",91
-1.3,0.3,-20,"13.72",89
-1.3,0.3,-30,"72.27",86
-1.3,0.4,-10,"7.45",87
-1.3,0.4,-20,"19.10",86
-1.3,0.4,-30,"84.91",83
-1.3,0.5,-10,"9.55",83
-1.3,0.5,-20,"21.42",82
-1.3,0.5,-30,"88.52",79
-1.3,0.6,-10,"13.85",82
-1.3,0.6,-20,"26.19",81
-1.3,0.6,-30,"95.92",78
-1.3,0.7,-10,"16.84",79
-1.3,0.7,-20,"29.50",78
-1.3,0.7,-30,"101.06",75
-1.3,0.8,-10,"6.78",67
-1.3,0.8,-20,"18.35",66
-1.3,0.8,-30,"83.75",63
-1.3,0.9,-10,"2.08",65
-1.3,0.9,-20,"21.59",62
-1.3,0.9,-30,"88.78",59
-1.3,1,-10,"5.03",61
-1.3,1,-20,"25.42",58
-1.3,1,-30,"94.72",55
-1.3,1.1,-10,"7.30",60
-1.3,1.1,-20,"27.93",57
-1.3,1.1,-30,"98.62",54
-1.3,1.2,-10,"2.90",56
-1.3,1.2,-20,"22.68",53
-1.3,1.2,-30,"90.47",50
-1.3,1.3,-10,"-7.18",55
-1.3,1.3,-20,"-0.44",51
-1.3,1.3,-30,"45.22",47
-1.3,1.4,-10,"-5.14",55
-1.3,1.4,-20,"1.73",51
-1.3,1.4,-30,"48.44",47
-1.3,1.5,-10,"-24.76",56
-1.3,1.5,-20,"-5.01",42
-1.3,1.5,-30,"38.37",38
-1.3,1.6,-10,"-23.56",54
-1.3,1.6,-20,"-3.56",41
-1.3,1.6,-30,"40.51",37
-1.3,1.7,-10,"-22.11",54
-1.3,1.7,-20,"-1.49",41
-1.3,1.7,-30,"43.58",37
-1.3,1.8,-10,"-20.76",53
-1.3,1.8,-20,"-0.95",40
-1.3,1.8,-30,"44.37",36
-1.3,1.9,-10,"-18.95",52
-1.3,1.9,-20,"0.25",39
-1.3,1.9,-30,"48.17",36
-1.3,2,-10,"-14.63",48
-1.3,2,-20,"-3.88",36
-1.3,2,-30,"41.91",33
-1.3,2.1,-10,"-12.04",45
-1.3,2.1,-20,"3.34",35
-1.3,2.1,-30,"45.87",32
-1.3,2.2,-10,"-12.05",44
-1.3,2.2,-20,"4.38",35
-1.3,2.2,-30,"47.37",32
-1.3,2.3,-10,"-10.60",44
-1.3,2.3,-20,"5.62",35
-1.3,2.3,-30,"49.10",32
-1.3,2.4,-10,"-20.08",40
-1.3,2.4,-20,"-5.01",31
-1.3,2.4,-30,"35.97",27
-1.3,2.5,-10,"-17.49",39
-1.3,2.5,-20,"-2.26",30
-1.3,2.5,-30,"35.42",26
-1.3,2.6,-10,"-23.50",39
-1.3,2.6,-20,"0.05",30
-1.3,2.6,-30,"38.66",26
-1.3,2.7,-10,"-34.87",36
-1.3,2.7,-20,"-22.20",27
-1.3,2.7,-30,"-0.30",24
-1.3,2.8,-10,"-34.99",35
-1.3,2.8,-20,"-22.97",26
-1.3,2.8,-30,"-0.76",23
-1.3,2.9,-10,"-34.22",35
-1.3,2.9,-20,"-22.20",26
-1.3,2.9,-30,"0.43",23
-1.3,3,-10,"-32.55",35
-1.3,3,-20,"-20.57",26
-1.3,3,-30,"2.56",23
-1.2,0.1,-10,"-4.23",114
-1.2,0.1,-20,"5.92",113
-1.2,0.1,-30,"60.31",110
-1.2,0.2,-10,"3.66",112
-1.2,0.2,-20,"14.89",111
-1.2,0.2,-30,"73.31",108
-1.2,0.3,-10,"1.04",106
-1.2,0.3,-20,"21.72",104
