"cond_open","cond_close","stop_loss","profit","deals"
-1.8,1.8,-40,"191.22",42
-1.8,1.9,-10,"224.14",43
-1.8,1.9,-20,"188.00",43
-1.8,1.9,-30,"151.83",43
-1.8,1.9,-40,"197.16",42
-1.8,2,-10,"219.63",41
-1.8,2,-20,"183.99",41
-1.8,2,-30,"148.32",41
-1.8,2,-40,"192.36",40
-1.7,0.1,-10,"947.67",133
-1.7,0.1,-20,"947.67",133
-1.7,0.1,-30,"947.67",133
-1.7,0.1,-40,"947.67",133
-1.7,0.2,-10,"905.58",132
-1.7,0.2,-20,"905.58",132
-1.7,0.2,-30,"905.58",132
-1.7,0.2,-40,"905.58",132
-1.7,0.3,-10,"958.60",132
-1.7,0.3,-20,"958.60",132
-1.7,0.3,-30,"958.60",132
-1.7,0.3,-40,"958.60",132
-1.7,0.4,-10,"1025.58",126
-1.7,0.4,-20,"1025.58",126
-1.7,0.4,-30,"1025.58",126
-1.7,0.4,-40,"1025.58",126
-1.7,0.5,-10,"1016.65",117
-1.7,0.5,-20,"1016.65",117
-1.7,0.5,-30,"1016.65",117
-1.7,0.5,-40,"1016.65",117
-1.7,0.6,-10,"1025.66",111
-1.7,0.6,-20,"1025.66",111
-1.7,0.6,-30,"1025.66",111
-1.7,0.6,-40,"1025.66",111
-1.7,0.7,-10,"1005.22",107
-1.7,0.7,-20,"1005.22",107
-1.7,0.7,-30,"1005.22",107
-1.7,0.7,-40,"1005.22",107
-1.7,0.8,-10,"462.17",84
-1.7,0.8,-20,"462.17",84
-1.7,0.8,-30,"462.17",84
-1.7,0.8,-40,"462.17",84
-1.7,0.9,-10,"564.75",83
-1.7,0.9,-20,"564.75",83
-1.7,0.9,-30,"564.75",83
-1.7,0.9,-40,"564.75",83
-1.7,1,-10,"567.79",80
-1.7,1,-20,"567.79",80
-1.7,1,-30,"567.79",80
-1.7,1,-40,"567.79",80
-1.7,1.1,-10,"533.27",79
-1.7,1.1,-20,"533.27",79
-1.7,1.1,-30,"533.27",79
-1.7,1.1,-40,"533.27",79
-1.7,1.2,-10,"321.59",65
-1.7,1.2,-20,"321.59",65
-1.7,1.2,-30,"321.59",65
-1.7,1.2,-40,"321.59",65
-1.7,1.3,-10,"328.85",63
-1.7,1.3,-20,"328.85",63
-1.7,1.3,-30,"328.85",63
-1.7,1.3,-40,"328.85",63
-1.7,1.4,-10,"177.65",59
-1.7,1.4,-20,"199.00",57
-1.7,1.4,-30,"161.44",57
-1.7,1.4,-40,"160.46",47
-1.7,1.5,-10,"190.89",59
-1.7,1.5,-20,"213.27",57
-1.7,1.5,-30,"173.92",57
-1.7,1.5,-40,"171.49",47
-1.7,1.6,-10,"99.04",47
-1.7,1.6,-20,"226.95",57
-1.7,1.6,-30,"185.88",57
-1.7,1.6,-40,"183.12",47
-1.7,1.7,-10,"74.46",39
-1.7,1.7,-20,"186.35",48
-1.7,1.7,-30,"150.38",48
-1.7,1.7,-40,"191.61",46
-1.7,1.8,-10,"77.01",38
-1.7,1.8,-20,"193.80",47
-1.7,1.8,-30,"156.90",47
-1.7,1.8,-40,"196.24",45
-1.7,1.9,-10,"80.29",38
-1.7,1.9,-20,"200.64",47
-1.7,1.9,-30,"162.88",47
-1.7,1.9,-40,"202.37",45
-1.7,2,-10,"72.94",35
-1.7,2,-20,"180.11",42
-1.7,2,-30,"144.92",42
-1.7,2,-40,"181.07",40
-1.6,0.1,-10,"950.86",135
-1.6,0.1,-20,"950.86",135
-1.6,0.1,-30,"950.86",135
-1.6,0.1,-40,"950.86",135
-1.6,0.2,-10,"910.44",134
-1.6,0.2,-20,"910.44",134
-1.6,0.2,-30,"910.44",134
-1.6,0.2,-40,"910.44",134
-1.6,0.3,-10,"963.71",134
-1.6,0.3,-20,"963.71",134
-1.6,0.3,-30,"963.71",134
-1.6,0.3,-40,"963.71",134
-1.6,0.4,-10,"1040.52",129
-1.6,0.4,-20,"1040.52",129
-1.6,0.4,-30,"1040.52",129
-1.6,0.4,-40,"1040.52",129
-1.6,0.5,-10,"1029.81",119
-1.6,0.5,-20,"1029.81",119
-1.6,0.5,-30,"1029.81",119
-1.6,0.5,-40,"1029.81",119
-1.6,0.6,-10,"1037.99",113
-1.6,0.6,-20,"1037.99",113
-1.6,0.6,-30,"1037.99",113
-1.6,0.6,-40,"1037.99",113
-1.6,0.7,-10,"1028.90",108
-1.6,0.7,-20,"1028.90",108
-1.6,0.7,-30,"1028.90",108
-1.6,0.7,-40,"1028.90",108
-1.6,0.8,-10,"472.16",85
-1.6,0.8,-20,"472.16",85
-1.6,0.8,-30,"472.16",85
-1.6,0.8,-40,"472.16",85
-1.6,0.9,-10,"568.93",83
-1.6,0.9,-20,"568.93",83
-1.6,0.9,-30,"568.93",83
-1.6,0.9,-40,"568.93",83
-1.6,1,-10,"571.99",80
-1.6,1,-20,"571.99",80
-1.6,1,-30,"571.99",80
-1.6,1,-40,"571.99",80
-1.6,1.1,-10,"537.25",79
-1.6,1.1,-20,"537.25",79
-1.6,1.1,-30,"537.25",79
-1.6,1.1,-40,"537.25",79
-1.6,1.2,-10,"324.24",65
-1.6,1.2,-20,"324.24",65
-1.6,1.2,-30,"324.24",65
-1.6,1.2,-40,"324.24",65
-1.6,1.3,-10,"330.80",63
-1.6,1.3,-20,"330.80",63
-1.6,1.3,-30,"330.80",63
-1.6,1.3,-40,"330.80",63
-1.6,1.4,-10,"178.14",59
-1.6,1.4,-20,"199.53",57
-1.6,1.4,-30,"161.91",57
-1.6,1.4,-40,"160.92",47
-1.6,1.5,-10,"191.41",59
-1.6,1.5,-20,"213.82",57
-1.6,1.5,-30,"174.40",57
-1.6,1.5,-40,"171.96",47
-1.6,1.6,-10,"99.04",47
-1.6,1.6,-20,"227.52",57
-1.6,1.6,-30,"186.38",57
-1.6,1.6,-40,"183.62",47
-1.6,1.7,-10,"74.46",39
-1.6,1.7,-20,"186.72",48
-1.6,1.7,-30,"150.70",48
-1.6,1.7,-40,"191.98",46
-1.6,1.8,-10,"77.01",38
-1.6,1.8,-20,"193.79",47
-1.6,1.8,-30,"156.89",47
-1.6,1.8,-40,"196.23",45
-1.6,1.9,-10,"80.29",38
-1.6,1.9,-20,"195.64",46
-1.6,1.9,-30,"158.50",46
-1.6,1.9,-40,"197.33",44
-1.6,2,-10,"71.92",35
-1.6,2,-20,"173.83",41
-1.6,2,-30,"139.44",41
-1.6,2,-40,"174.78",39
-1.5,0.1,-10,"978.86",144
-1.5,0.1,-20,"978.86",144
-1.5,0.1,-30,"978.86",144
-1.5,0.1,-40,"978.86",144
-1.5,0.2,-10,"940.74",143
-1.5,0.2,-20,"940.74",143
-1.5,0.2,-30,"940.74",143
-1.5,0.2,-40,"940.74",143
-1.5,0.3,-10,"1008.55",141
-1.5,0.3,-20,"1008.55",141
-1.5,0.3,-30,"1008.55",141
-1.5,0.3,-40,"1008.55",141
-1.5,0.4,-10,"1095.70",135
-1.5,0.4,-20,"1095.70",135
-1.5,0.4,-30,"1095.70",135
-1.5,0.4,-40,"1095.70",135
-1.5,0.5,-10,"1084.13",125
-1.5,0.5,-20,"1084.13",125
-1.5,0.5,-30,"1084.13",125
-1.5,0.5,-40,"1084.13",125
-1.5,0.6,-10,"1087.36",118
-1.5,0.6,-20,"1087.36",118
-1.5,0.6,-30,"1087.36",118
-1.5,0.6,-40,"1087.36",118
-1.5,0.7,-10,"1083.04",113
-1.5,0.7,-20,"1083.04",113
-1.5,0.7,-30,"1083.04",113
-1.5,0.7,-40,"1083.04",113
-1.5,0.8,-10,"514.80",92
-1.5,0.8,-20,"514.80",92
-1.5,0.8,-30,"514.80",92
-1.5,0.8,-40,"514.80",92
-1.5,0.9,-10,"618.89",90
-1.5,0.9,-20,"618.89",90
-1.5,0.9,-30,"618.89",90
-1.5,0.9,-40,"618.89",90
-1.5,1,-10,"616.45",86
-1.5,1,-20,"616.45",86
-1.5,1,-30,"616.45",86
-1.5,1,-40,"616.45",86
-1.5,1.1,-10,"575.66",84
-1.5,1.1,-20,"575.66",84
-1.5,1.1,-30,"575.66",84
-1.5,1.1,-40,"575.66",84
-1.5,1.2,-10,"311.03",69
-1.5,1.2,-20,"311.03",69
-1.5,1.2,-30,"311.03",69
-1.5,1.2,-40,"311.03",69
-1.5,1.3,-10,"307.14",65
-1.5,1.3,-20,"307.14",65
-1.5,1.3,-30,"307.14",65
-1.5,1.3,-40,"307.14",65
-1.5,1.4,-10,"158.97",61
-1.5,1.4,-20,"178.88",59
-1.5,1.4,-30,"143.85",59
-1.5,1.4,-40,"149.47",50
-1.5,1.5,-10,"197.55",66
-1.5,1.5,-20,"220.44",64
-1.5,1.5,-30,"180.19",64
-1.5,1.5,-40,"161.55",50
-1.5,1.6,-10,"99.34",52
-1.5,1.6,-20,"235.07",64
-1.5,1.6,-30,"192.98",64
-1.5,1.6,-40,"173.49",50
-1.5,1.7,-10,"64.92",40
-1.5,1.7,-20,"170.81",49
-1.5,1.7,-30,"136.79",49
-1.5,1.7,-40,"175.78",47
-1.5,1.8,-10,"67.64",39
-1.5,1.8,-20,"178.23",48
-1.5,1.8,-30,"143.28",48
-1.5,1.8,-40,"180.54",46
-1.5,1.9,-10,"70.75",39
-1.5,1.9,-20,"179.94",47
-1.5,1.9,-30,"144.78",47
