"lb","ln","profit","deals"
-13.2,-12.2,"0.00",0
-13.2,-12,"0.00",0
-13.2,-11.8,"0.00",0
-13.2,-11.6,"0.00",0
-13.2,-11.4,"0.00",0
-13.2,-11.2,"0.00",0
-13.2,-11,"0.00",0
-13.2,-10.8,"0.00",0
-13.2,-10.6,"0.00",0
-13.2,-10.4,"0.00",0
-13.2,-10.2,"0.00",0
-13.2,-10,"0.00",0
-13.2,-9.8,"0.00",0
-13.2,-9.6,"0.00",0
-13.2,-9.4,"0.00",0
-13.2,-9.2,"0.00",0
-13.2,-9,"0.00",0
-13.2,-8.8,"0.00",0
-13.2,-8.6,"0.00",0
-13.2,-8.4,"0.00",0
-13.2,-8.2,"0.00",0
-13.2,-8,"0.00",0
-13.2,-7.8,"0.00",0
-13.2,-7.6,"0.00",0
-13.2,-7.4,"0.00",0
-13.2,-7.2,"0.00",0
-13.2,-7,"0.00",0
-13.2,-6.8,"0.00",0
-13.2,-6.6,"0.00",0
-13.2,-6.4,"0.00",0
-13.2,-6.2,"0.00",0
-13.2,-6,"0.00",0
-13.2,-5.8,"0.00",0
-13.2,-5.6,"0.00",0
-13.2,-5.4,"0.00",0
-13.2,-5.2,"0.00",0
-13.2,-5,"0.00",0
-13.2,-4.8,"0.00",0
-13.2,-4.6,"0.00",0
-13.2,-4.4,"0.00",0
-13.2,-4.2,"0.00",0
-13.2,-4,"0.00",0
-13.2,-3.8,"0.00",0
-13.2,-3.6,"0.00",0
-13.2,-3.4,"0.00",0
-13.2,-3.2,"0.00",0
-13,-12,"0.00",0
-13,-11.8,"0.00",0
-13,-11.6,"0.00",0
-13,-11.4,"0.00",0
-13,-11.2,"0.00",0
-13,-11,"0.00",0
-13,-10.8,"0.00",0
-13,-10.6,"0.00",0
-13,-10.4,"0.00",0
-13,-10.2,"0.00",0
-13,-10,"0.00",0
-13,-9.8,"0.00",0
-13,-9.6,"0.00",0
-13,-9.4,"0.00",0
-13,-9.2,"0.00",0
-13,-9,"0.00",0
-13,-8.8,"0.00",0
-13,-8.6,"0.00",0
-13,-8.4,"0.00",0
-13,-8.2,"0.00",0
-13,-8,"0.00",0
-13,-7.8,"0.00",0
-13,-7.6,"0.00",0
-13,-7.4,"0.00",0
-13,-7.2,"0.00",0
-13,-7,"0.00",0
-13,-6.8,"0.00",0
-13,-6.6,"0.00",0
-13,-6.4,"0.00",0
-13,-6.2,"0.00",0
-13,-6,"0.00",0
-13,-5.8,"0.00",0
-13,-5.6,"0.00",0
-13,-5.4,"0.00",0
-13,-5.2,"0.00",0
-13,-5,"0.00",0
-13,-4.8,"0.00",0
-13,-4.6,"0.00",0
-13,-4.4,"0.00",0
-13,-4.2,"0.00",0
-13,-4,"0.00",0
-13,-3.8,"0.00",0
-13,-3.6,"0.00",0
-13,-3.4,"0.00",0
-13,-3.2,"0.00",0
-13,-3,"0.00",0
-12.8,-11.8,"0.00",0
-12.8,-11.6,"0.00",0
-12.8,-11.4,"0.00",0
-12.8,-11.2,"0.00",0
-12.8,-11,"0.00",0
-12.8,-10.8,"0.00",0
-12.8,-10.6,"0.00",0
-12.8,-10.4,"0.00",0
-12.8,-10.2,"0.00",0
-12.8,-10,"0.00",0
-12.8,-9.8,"0.00",0
-12.8,-9.6,"0.00",0
-12.8,-9.4,"0.00",0
-12.8,-9.2,"0.00",0
-12.8,-9,"0.00",0
-12.8,-8.8,"0.00",0
-12.8,-8.6,"0.00",0
-12.8,-8.4,"0.00",0
-12.8,-8.2,"0.00",0
-12.8,-8,"0.00",0
