"se","sc","scal","profit","deals"
0.15,0.4,1.25,"475.55",324
0.15,0.4,1.3,"475.55",324
0.15,0.4,1.35,"475.55",324
0.15,0.4,1.4,"463.69",324
0.15,0.4,1.45,"382.27",324
0.15,0.4,1.5,"382.27",324
0.15,0.4,1.55,"382.27",324
0.15,0.4,1.6,"382.27",324
0.15,0.4,1.65,"403.46",324
0.15,0.4,1.7,"403.46",324
0.15,0.4,1.75,"385.16",324
0.15,0.4,1.8,"385.16",324
0.15,0.4,1.85,"385.16",324
0.15,0.4,1.9,"385.16",324
0.15,0.4,1.95,"385.16",324
0.15,0.4,2,"403.61",324
0.15,0.45,1.1,"548.69",324
0.15,0.45,1.15,"532.04",324
0.15,0.45,1.2,"532.04",324
0.15,0.45,1.25,"529.19",324
0.15,0.45,1.3,"529.19",324
0.15,0.45,1.35,"529.19",324
0.15,0.45,1.4,"514.82",324
0.15,0.45,1.45,"429.51",324
0.15,0.45,1.5,"429.51",324
0.15,0.45,1.55,"429.51",324
0.15,0.45,1.6,"429.51",324
0.15,0.45,1.65,"455.84",324
0.15,0.45,1.7,"455.84",324
0.15,0.45,1.75,"430.54",324
0.15,0.45,1.8,"430.54",324
0.15,0.45,1.85,"430.54",324
0.15,0.45,1.9,"430.54",324
0.15,0.45,1.95,"430.54",324
0.15,0.45,2,"452.81",324
0.15,0.5,1.1,"606.76",324
0.15,0.5,1.15,"584.44",324
0.15,0.5,1.2,"584.44",324
0.15,0.5,1.25,"584.44",324
0.15,0.5,1.3,"584.44",324
0.15,0.5,1.35,"584.44",324
0.15,0.5,1.4,"567.26",324
0.15,0.5,1.45,"475.68",324
0.15,0.5,1.5,"475.68",324
0.15,0.5,1.55,"475.68",324
0.15,0.5,1.6,"475.68",324
0.15,0.5,1.65,"507.67",324
0.15,0.5,1.7,"507.67",324
0.15,0.5,1.75,"475.02",324
0.15,0.5,1.8,"475.02",324
0.15,0.5,1.85,"475.02",324
0.15,0.5,1.9,"475.02",324
0.15,0.5,1.95,"475.02",324
0.15,0.5,2,"501.42",324
0.15,0.55,1.1,"680.82",324
0.15,0.55,1.15,"651.89",324
0.15,0.55,1.2,"651.89",324
0.15,0.55,1.25,"651.89",324
0.15,0.55,1.3,"651.89",324
0.15,0.55,1.35,"651.89",324
0.15,0.55,1.4,"631.31",324
0.15,0.55,1.45,"530.44",324
0.15,0.55,1.5,"530.44",324
0.15,0.55,1.55,"530.44",324
0.15,0.55,1.6,"530.44",324
0.15,0.55,1.65,"569.18",324
0.15,0.55,1.7,"569.18",324
0.15,0.55,1.75,"528.11",324
0.15,0.55,1.8,"528.11",324
0.15,0.55,1.85,"528.11",324
0.15,0.55,1.9,"528.11",324
0.15,0.55,1.95,"528.11",324
0.15,0.55,2,"559.43",324
0.15,0.6,1.1,"761.31",324
0.15,0.6,1.15,"724.98",324
0.15,0.6,1.2,"724.98",324
0.15,0.6,1.25,"724.98",324
0.15,0.6,1.3,"724.98",324
0.15,0.6,1.35,"724.98",324
0.15,0.6,1.4,"700.50",324
0.15,0.6,1.45,"588.50",324
0.15,0.6,1.5,"588.50",324
0.15,0.6,1.55,"588.50",324
0.15,0.6,1.6,"588.50",324
0.15,0.6,1.65,"634.92",324
0.15,0.6,1.7,"634.92",324
0.15,0.6,1.75,"584.46",324
0.15,0.6,1.8,"584.46",324
0.15,0.6,1.85,"584.46",324
0.15,0.6,1.9,"584.46",324
0.15,0.6,1.95,"584.46",324
0.15,0.6,2,"621.31",324
0.15,0.65,1.1,"848.80",324
0.15,0.65,1.15,"804.11",324
0.15,0.65,1.2,"804.11",324
0.15,0.65,1.25,"804.11",324
0.15,0.65,1.3,"804.11",324
0.15,0.65,1.35,"804.11",324
0.15,0.65,1.4,"775.21",324
0.15,0.65,1.45,"650.32",324
0.15,0.65,1.5,"650.32",324
0.15,0.65,1.55,"650.32",324
0.15,0.65,1.6,"650.32",324
0.15,0.65,1.65,"705.42",324
0.15,0.65,1.7,"705.42",324
0.15,0.65,1.75,"644.49",324
0.15,0.65,1.8,"644.49",324
0.15,0.65,1.85,"644.49",324
0.15,0.65,1.9,"644.49",324
0.15,0.65,1.95,"644.49",324
0.15,0.65,2,"687.51",324
0.15,0.7,1.1,"943.88",324
0.15,0.7,1.15,"889.73",324
0.15,0.7,1.2,"889.73",324
0.15,0.7,1.25,"889.73",324
0.15,0.7,1.3,"889.73",324
0.15,0.7,1.35,"889.73",324
0.15,0.7,1.4,"855.84",324
0.15,0.7,1.45,"716.25",324
0.15,0.7,1.5,"716.25",324
0.15,0.7,1.55,"716.25",324
0.15,0.7,1.6,"716.25",324
0.15,0.7,1.65,"781.18",324
0.15,0.7,1.7,"781.18",324
0.15,0.7,1.75,"708.54",324
0.15,0.7,1.8,"708.54",324
0.15,0.7,1.85,"708.54",324
0.15,0.7,1.9,"708.54",324
0.15,0.7,1.95,"708.54",324
0.15,0.7,2,"758.45",324
0.15,0.75,1.1,"1047.16",324
0.15,0.75,1.15,"982.33",324
0.15,0.75,1.2,"982.33",324
0.15,0.75,1.25,"982.33",324
0.15,0.75,1.3,"982.33",324
0.15,0.75,1.35,"982.33",324
0.15,0.75,1.4,"942.79",324
0.15,0.75,1.45,"786.66",324
0.15,0.75,1.5,"786.66",324
0.15,0.75,1.55,"786.66",324
0.15,0.75,1.6,"786.66",324
0.15,0.75,1.65,"862.66",324
0.15,0.75,1.7,"862.66",324
0.15,0.75,1.75,"776.94",324
0.15,0.75,1.8,"776.94",324
0.15,0.75,1.85,"776.94",324
0.15,0.75,1.9,"776.94",324
0.15,0.75,1.95,"776.94",324
0.15,0.75,2,"834.52",324
0.15,0.8,1.1,"1159.28",324
0.15,0.8,1.15,"1082.40",324
0.15,0.8,1.2,"1082.40",324
0.15,0.8,1.25,"1082.40",324
0.15,0.8,1.3,"1082.40",324
0.15,0.8,1.35,"1082.40",324
0.15,0.8,1.4,"1036.52",324
0.15,0.8,1.45,"861.88",324
0.15,0.8,1.5,"861.88",324
0.15,0.8,1.55,"861.88",324
0.15,0.8,1.6,"861.88",324
0.15,0.8,1.65,"950.33",324
0.15,0.8,1.7,"950.33",324
0.15,0.8,1.75,"850.02",324
0.15,0.8,1.8,"850.02",324
0.15,0.8,1.85,"850.02",324
0.15,0.8,1.9,"850.02",324
0.15,0.8,1.95,"850.02",324
0.15,0.8,2,"916.14",324
0.2,0.1,1.1,"404.80",324
0.2,0.1,1.15,"398.31",324
0.2,0.1,1.2,"398.31",324
0.2,0.1,1.25,"380.77",324
0.2,0.1,1.3,"380.77",324
0.2,0.1,1.35,"380.77",324
0.2,0.1,1.4,"378.90",324
0.2,0.1,1.45,"383.78",324
0.2,0.1,1.5,"383.78",324
0.2,0.1,1.55,"383.78",324
0.2,0.1,1.6,"383.78",324
0.2,0.1,1.65,"388.24",324
0.2,0.1,1.7,"388.24",324
0.2,0.1,1.75,"379.29",324
0.2,0.1,1.8,"379.29",324
0.2,0.1,1.85,"379.29",324
0.2,0.1,1.9,"379.29",324
0.2,0.1,1.95,"379.29",324
0.2,0.1,2,"381.81",324
0.2,0.15,1.1,"497.48",324
0.2,0.15,1.15,"484.94",324
0.2,0.15,1.2,"484.94",324
0.2,0.15,1.25,"459.10",324
0.2,0.15,1.3,"459.10",324
0.2,0.15,1.35,"459.10",324
0.2,0.15,1.4,"455.92",324
0.2,0.15,1.45,"468.98",324
0.2,0.15,1.5,"468.98",324
0.2,0.15,1.55,"468.98",324
0.2,0.15,1.6,"468.98",324
0.2,0.15,1.65,"476.87",324
0.2,0.15,1.7,"476.87",324
0.2,0.15,1.75,"459.82",324
0.2,0.15,1.8,"459.82",324
0.2,0.15,1.85,"459.82",324
