"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","scaling","cond_close","profit","deals"
1.5,-1.5,1,1.4,"28.40",39
1.5,-1.5,1,1.6,"22.37",28
1.5,-1.5,1,1.8,"24.00",28
1.5,-1.5,1,2,"20.47",22
1.5,-1.5,1,2.2,"22.79",26
1.5,-1.5,1,2.4,"20.39",18
1.5,-1.5,1,2.6,"16.08",14
1.5,-1.5,1,2.8,"15.69",10
1.5,-1.5,1,3,"16.74",10
1.5,-1.5,1.5,0.6,"70.21",190
1.5,-1.5,1.5,0.8,"46.12",113
1.5,-1.5,1.5,1,"45.90",93
1.5,-1.5,1.5,1.2,"41.96",67
1.5,-1.5,1.5,1.4,"34.09",48
1.5,-1.5,1.5,1.6,"27.18",33
1.5,-1.5,1.5,1.8,"24.13",30
1.5,-1.5,1.5,2,"16.69",21
1.5,-1.5,1.5,2.2,"18.47",21
1.5,-1.5,1.5,2.4,"21.01",23
1.5,-1.5,1.5,2.6,"19.29",17
1.5,-1.5,1.5,2.8,"21.25",15
1.5,-1.5,1.5,3,"17.26",12
1.5,-1.5,2,0.6,"62.32",193
1.5,-1.5,2,0.8,"56.65",129
1.5,-1.5,2,1,"50.33",95
1.5,-1.5,2,1.2,"39.61",69
1.5,-1.5,2,1.4,"39.57",52
1.5,-1.5,2,1.6,"28.09",36
1.5,-1.5,2,1.8,"24.81",31
1.5,-1.5,2,2,"21.80",24
1.5,-1.5,2,2.2,"19.03",21
1.5,-1.5,2,2.4,"20.18",17
1.5,-1.5,2,2.6,"18.24",13
1.5,-1.5,2,2.8,"17.77",14
1.5,-1.5,2,3,"18.93",13
1.5,-1.5,2.5,0.6,"51.41",188
1.5,-1.5,2.5,0.8,"50.06",123
1.5,-1.5,2.5,1,"49.56",96
1.5,-1.5,2.5,1.2,"45.60",75
1.5,-1.5,2.5,1.4,"43.87",58
1.5,-1.5,2.5,1.6,"32.93",41
1.5,-1.5,2.5,1.8,"29.79",35
1.5,-1.5,2.5,2,"21.87",26
1.5,-1.5,2.5,2.2,"23.59",25
1.5,-1.5,2.5,2.4,"21.73",18
1.5,-1.5,2.5,2.6,"16.95",14
1.5,-1.5,2.5,2.8,"20.40",15
1.5,-1.5,2.5,3,"18.26",13
