"cond_open_sell_okft_buy_bitf","cond_open_buy_okft_sell_bitf","cond_close","profit","deals"
1.4,-1.8,0.8,"53.82",118
1.4,-1.9,0.4,"49.96",256
1.4,-1.9,0.5,"49.80",203
1.4,-1.9,0.6,"48.72",161
1.4,-1.9,0.7,"48.99",133
1.4,-1.9,0.8,"53.79",117
1.4,-2,0.4,"60.69",270
1.4,-2,0.5,"49.79",206
1.4,-2,0.6,"49.59",165
1.4,-2,0.7,"60.88",145
1.4,-2,0.8,"58.62",123
1.5,-1,0.4,"51.75",262
1.5,-1,0.5,"70.97",233
1.5,-1,0.6,"68.33",191
1.5,-1,0.7,"56.02",146
1.5,-1,0.8,"47.51",116
1.5,-1.1,0.4,"51.65",262
1.5,-1.1,0.5,"66.20",224
1.5,-1.1,0.6,"68.15",189
1.5,-1.1,0.7,"54.50",140
1.5,-1.1,0.8,"48.63",118
1.5,-1.2,0.4,"50.96",258
1.5,-1.2,0.5,"67.68",227
1.5,-1.2,0.6,"68.10",187
1.5,-1.2,0.7,"56.91",146
1.5,-1.2,0.8,"47.49",116
1.5,-1.3,0.4,"49.12",252
1.5,-1.3,0.5,"52.01",208
1.5,-1.3,0.6,"66.42",182
1.5,-1.3,0.7,"53.10",137
1.5,-1.3,0.8,"51.08",120
1.5,-1.4,0.4,"48.92",253
1.5,-1.4,0.5,"62.30",220
1.5,-1.4,0.6,"66.24",188
1.5,-1.4,0.7,"64.02",153
1.5,-1.4,0.8,"51.03",120
1.5,-1.5,0.4,"48.80",252
1.5,-1.5,0.5,"48.89",202
1.5,-1.5,0.6,"70.21",190
1.5,-1.5,0.7,"53.51",139
1.5,-1.5,0.8,"46.12",113
1.5,-1.6,0.4,"47.39",251
1.5,-1.6,0.5,"63.45",226
1.5,-1.6,0.6,"51.89",167
1.5,-1.6,0.7,"53.10",138
1.5,-1.6,0.8,"51.38",120
1.5,-1.7,0.4,"49.84",254
1.5,-1.7,0.5,"48.82",202
1.5,-1.7,0.6,"51.98",166
1.5,-1.7,0.7,"62.50",145
1.5,-1.7,0.8,"51.09",120
1.5,-1.8,0.4,"47.50",249
1.5,-1.8,0.5,"49.48",201
1.5,-1.8,0.6,"51.14",165
1.5,-1.8,0.7,"65.40",147
1.5,-1.8,0.8,"51.24",118
1.5,-1.9,0.4,"59.22",268
1.5,-1.9,0.5,"48.66",202
1.5,-1.9,0.6,"49.65",162
1.5,-1.9,0.7,"62.29",146
1.5,-1.9,0.8,"49.54",115
1.5,-2,0.4,"58.82",266
1.5,-2,0.5,"50.21",210
1.5,-2,0.6,"49.85",165
1.5,-2,0.7,"50.96",141
1.5,-2,0.8,"50.87",116
1.6,-1,0.4,"51.17",261
1.6,-1,0.5,"54.06",223
1.6,-1,0.6,"68.16",192
1.6,-1,0.7,"53.71",148
1.6,-1,0.8,"53.46",129
1.6,-1.1,0.4,"50.93",260
1.6,-1.1,0.5,"51.25",214
1.6,-1.1,0.6,"66.26",188
1.6,-1.1,0.7,"56.32",149
1.6,-1.1,0.8,"45.70",117
1.6,-1.2,0.4,"51.04",261
1.6,-1.2,0.5,"50.45",213
1.6,-1.2,0.6,"60.86",178
1.6,-1.2,0.7,"55.57",149
1.6,-1.2,0.8,"47.37",120
1.6,-1.3,0.4,"48.17",251
1.6,-1.3,0.5,"47.51",212
1.6,-1.3,0.6,"71.61",192
1.6,-1.3,0.7,"64.27",155
1.6,-1.3,0.8,"46.61",117
1.6,-1.4,0.4,"49.20",254
1.6,-1.4,0.5,"49.33",214
1.6,-1.4,0.6,"60.76",182
1.6,-1.4,0.7,"64.38",156
1.6,-1.4,0.8,"46.37",117
1.6,-1.5,0.4,"48.36",252
1.6,-1.5,0.5,"65.97",234
1.6,-1.5,0.6,"69.15",192
1.6,-1.5,0.7,"52.32",144
1.6,-1.5,0.8,"46.05",117
1.6,-1.6,0.4,"48.25",254
1.6,-1.6,0.5,"49.11",214
1.6,-1.6,0.6,"50.20",167
1.6,-1.6,0.7,"51.97",143
1.6,-1.6,0.8,"51.06",124
1.6,-1.7,0.4,"49.22",254
1.6,-1.7,0.5,"48.80",209
1.6,-1.7,0.6,"51.03",168
1.6,-1.7,0.7,"62.89",151
1.6,-1.7,0.8,"51.05",124
1.6,-1.8,0.4,"47.53",248
1.6,-1.8,0.5,"46.58",204
1.6,-1.8,0.6,"47.57",163
1.6,-1.8,0.7,"66.02",153
1.6,-1.8,0.8,"45.41",114
1.6,-1.9,0.4,"58.91",268
1.6,-1.9,0.5,"50.95",217
1.6,-1.9,0.6,"48.15",164
1.6,-1.9,0.7,"62.27",151
1.6,-1.9,0.8,"49.47",119
1.6,-2,0.4,"58.41",266
1.6,-2,0.5,"50.98",221
1.6,-2,0.6,"49.18",167
1.6,-2,0.7,"51.25",144
1.6,-2,0.8,"49.31",118
1.7,-1,0.4,"50.38",255
1.7,-1,0.5,"54.46",219
1.7,-1,0.6,"67.09",194
1.7,-1,0.7,"54.95",147
1.7,-1,0.8,"48.93",122
1.7,-1.1,0.4,"50.93",257
1.7,-1.1,0.5,"52.38",212
1.7,-1.1,0.6,"65.93",190
1.7,-1.1,0.7,"53.57",143
1.7,-1.1,0.8,"48.03",120
1.7,-1.2,0.4,"48.51",257
1.7,-1.2,0.5,"51.74",212
1.7,-1.2,0.6,"67.00",191
1.7,-1.2,0.7,"54.70",145
1.7,-1.2,0.8,"52.52",128
1.7,-1.3,0.4,"48.69",252
1.7,-1.3,0.5,"48.88",208
1.7,-1.3,0.6,"67.65",188
