"cond_open","cond_close","step_entry","profit","deals"
-1.1,0.8,0.2,"99.33",190
-1.1,0.8,0.25,"106.29",182
-1.1,0.8,0.3,"115.89",179
-1.1,0.9,0.1,"68.74",181
-1.1,0.9,0.15,"86.98",181
-1.1,0.9,0.2,"101.97",178
-1.1,0.9,0.25,"116.11",175
-1.1,0.9,0.3,"127.55",172
-1.1,1,0.1,"75.67",171
-1.1,1,0.15,"95.04",169
-1.1,1,0.2,"112.17",164
-1.1,1,0.25,"130.63",161
-1.1,1,0.3,"158.83",163
-1,0.1,0.1,"89.77",636
-1,0.1,0.15,"128.39",624
-1,0.1,0.2,"180.40",623
-1,0.1,0.25,"244.74",621
-1,0.1,0.3,"318.29",619
-1,0.2,0.1,"107.15",548
-1,0.2,0.15,"164.05",543
-1,0.2,0.2,"240.57",546
-1,0.2,0.25,"333.50",545
-1,0.2,0.3,"453.86",545
-1,0.3,0.1,"118.94",462
-1,0.3,0.15,"187.85",464
-1,0.3,0.2,"270.51",464
-1,0.3,0.25,"379.31",462
-1,0.3,0.3,"523.61",462
-1,0.4,0.1,"140.90",420
-1,0.4,0.15,"222.24",420
-1,0.4,0.2,"334.77",420
-1,0.4,0.25,"475.71",417
-1,0.4,0.3,"649.13",411
-1,0.5,0.1,"141.10",367
-1,0.5,0.15,"223.74",367
-1,0.5,0.2,"332.06",366
-1,0.5,0.25,"439.32",356
-1,0.5,0.3,"599.35",354
-1,0.6,0.1,"104.56",300
-1,0.6,0.15,"146.77",297
-1,0.6,0.2,"196.02",295
-1,0.6,0.25,"220.19",292
-1,0.6,0.3,"242.42",278
-1,0.7,0.1,"76.11",248
-1,0.7,0.15,"99.27",246
-1,0.7,0.2,"100.95",240
-1,0.7,0.25,"108.01",228
-1,0.7,0.3,"127.20",227
-1,0.8,0.1,"83.55",233
-1,0.8,0.15,"97.67",227
-1,0.8,0.2,"114.51",222
-1,0.8,0.25,"102.42",213
-1,0.8,0.3,"118.60",212
-1,0.9,0.1,"68.40",190
-1,0.9,0.15,"82.42",186
-1,0.9,0.2,"97.37",183
-1,0.9,0.25,"77.22",179
-1,0.9,0.3,"77.58",175
-1,1,0.1,"70.76",179
-1,1,0.15,"91.01",178
-1,1,0.2,"89.09",174
-1,1,0.25,"97.60",170
-1,1,0.3,"115.22",170
-0.9,0.1,0.1,"87.31",778
-0.9,0.1,0.15,"121.09",763
-0.9,0.1,0.2,"159.56",745
-0.9,0.1,0.25,"211.46",743
-0.9,0.1,0.3,"267.85",741
-0.9,0.2,0.1,"95.64",624
-0.9,0.2,0.15,"144.04",624
-0.9,0.2,0.2,"190.23",608
-0.9,0.2,0.25,"257.81",606
-0.9,0.2,0.3,"340.36",606
-0.9,0.3,0.1,"98.51",510
-0.9,0.3,0.15,"145.26",511
-0.9,0.3,0.2,"190.79",502
-0.9,0.3,0.25,"228.33",500
-0.9,0.3,0.3,"298.76",498
-0.9,0.4,0.1,"116.67",447
