"cond_open","cond_close","trail_range","profit","deals"
-1.9,0.4,1,"176.62",40
-1.9,0.5,0.1,"651.37",64
-1.9,0.5,0.2,"582.14",60
-1.9,0.5,0.3,"528.12",56
-1.9,0.5,0.4,"371.91",54
-1.9,0.5,0.5,"304.89",49
-1.9,0.5,0.6,"205.05",45
-1.9,0.5,0.7,"208.79",45
-1.9,0.5,0.8,"206.80",44
-1.9,0.5,0.9,"198.30",43
-1.9,0.5,1,"176.85",40
-1.9,0.6,0.1,"658.25",62
-1.9,0.6,0.2,"588.75",60
-1.9,0.6,0.3,"532.99",56
-1.9,0.6,0.4,"374.96",54
-1.9,0.6,0.5,"305.36",48
-1.9,0.6,0.6,"209.14",45
-1.9,0.6,0.7,"210.22",45
-1.9,0.6,0.8,"206.80",44
-1.9,0.6,0.9,"198.55",43
-1.9,0.6,1,"177.10",40
-1.9,0.7,0.1,"651.31",61
-1.9,0.7,0.2,"579.81",59
-1.9,0.7,0.3,"534.99",55
-1.9,0.7,0.4,"259.06",53
-1.9,0.7,0.5,"209.23",48
-1.9,0.7,0.6,"210.80",45
-1.9,0.7,0.7,"210.22",45
-1.9,0.7,0.8,"206.80",44
-1.9,0.7,0.9,"198.83",43
-1.9,0.7,1,"180.02",40
-1.9,0.8,0.1,"662.53",61
-1.9,0.8,0.2,"584.40",58
-1.9,0.8,0.3,"550.21",55
-1.9,0.8,0.4,"266.63",53
-1.9,0.8,0.5,"212.16",48
-1.9,0.8,0.6,"213.75",45
-1.9,0.8,0.7,"212.67",45
-1.9,0.8,0.8,"209.42",44
-1.9,0.8,0.9,"203.37",43
-1.9,0.8,1,"181.06",40
-1.9,0.9,0.1,"476.83",61
-1.9,0.9,0.2,"414.89",58
-1.9,0.9,0.3,"393.96",55
-1.9,0.9,0.4,"267.95",53
-1.9,0.9,0.5,"213.43",48
-1.9,0.9,0.6,"213.90",45
-1.9,0.9,0.7,"212.91",45
-1.9,0.9,0.8,"212.78",44
-1.9,0.9,0.9,"203.37",43
-1.9,0.9,1,"181.35",40
-1.9,1,0.1,"459.73",59
-1.9,1,0.2,"408.39",57
-1.9,1,0.3,"382.87",54
-1.9,1,0.4,"262.26",52
-1.9,1,0.5,"213.18",47
-1.9,1,0.6,"219.47",45
-1.9,1,0.7,"217.24",45
-1.9,1,0.8,"213.78",44
-1.9,1,0.9,"204.73",43
-1.9,1,1,"189.04",40
-1.9,1.1,0.1,"474.87",59
-1.9,1.1,0.2,"417.86",57
-1.9,1.1,0.3,"391.87",54
-1.9,1.1,0.4,"268.38",52
-1.9,1.1,0.5,"214.03",47
-1.9,1.1,0.6,"220.11",45
-1.9,1.1,0.7,"217.83",45
-1.9,1.1,0.8,"211.23",43
-1.9,1.1,0.9,"209.26",42
-1.9,1.1,1,"189.47",40
-1.9,1.2,0.1,"479.95",59
-1.9,1.2,0.2,"421.96",57
-1.9,1.2,0.3,"398.54",54
-1.9,1.2,0.4,"270.74",52
-1.9,1.2,0.5,"218.29",47
-1.9,1.2,0.6,"221.79",45
-1.9,1.2,0.7,"218.48",45
-1.9,1.2,0.8,"213.28",43
-1.9,1.2,0.9,"210.15",42
-1.9,1.2,1,"193.93",40
-1.9,1.3,0.1,"487.28",58
-1.9,1.3,0.2,"400.49",53
-1.9,1.3,0.3,"334.29",49
-1.9,1.3,0.4,"225.12",47
-1.9,1.3,0.5,"208.95",44
-1.9,1.3,0.6,"209.27",44
-1.9,1.3,0.7,"213.02",44
-1.9,1.3,0.8,"205.83",42
-1.9,1.3,0.9,"206.83",41
-1.9,1.3,1,"186.97",39
-1.9,1.4,0.1,"492.34",58
-1.9,1.4,0.2,"407.57",53
-1.9,1.4,0.3,"344.57",49
-1.9,1.4,0.4,"232.71",47
-1.9,1.4,0.5,"209.06",43
-1.9,1.4,0.6,"210.97",44
-1.9,1.4,0.7,"213.02",44
-1.9,1.4,0.8,"209.85",42
-1.9,1.4,0.9,"206.83",41
-1.9,1.4,1,"187.29",39
-1.9,1.5,0.1,"498.99",58
-1.9,1.5,0.2,"410.36",53
-1.9,1.5,0.3,"346.86",49
-1.9,1.5,0.4,"233.93",47
-1.9,1.5,0.5,"211.27",43
-1.9,1.5,0.6,"213.38",44
-1.9,1.5,0.7,"216.53",43
-1.9,1.5,0.8,"211.63",42
-1.9,1.5,0.9,"211.05",41
-1.9,1.5,1,"173.91",39
-1.9,1.6,0.1,"505.18",58
-1.9,1.6,0.2,"414.27",52
-1.9,1.6,0.3,"348.76",49
-1.9,1.6,0.4,"236.42",47
-1.9,1.6,0.5,"213.41",43
-1.9,1.6,0.6,"212.64",43
-1.9,1.6,0.7,"216.53",43
-1.9,1.6,0.8,"215.67",42
-1.9,1.6,0.9,"192.49",41
-1.9,1.6,1,"173.91",39
-1.9,1.7,0.1,"543.47",60
-1.9,1.7,0.2,"443.50",54
-1.9,1.7,0.3,"420.79",52
-1.9,1.7,0.4,"290.28",50
-1.9,1.7,0.5,"188.51",42
-1.9,1.7,0.6,"220.89",44
-1.9,1.7,0.7,"233.75",43
-1.9,1.7,0.8,"199.63",42
-1.9,1.7,0.9,"195.29",41
-1.9,1.7,1,"180.54",40
-1.9,1.8,0.1,"479.37",55
-1.9,1.8,0.2,"409.88",52
-1.9,1.8,0.3,"388.58",50
-1.9,1.8,0.4,"266.76",48
-1.9,1.8,0.5,"173.69",41
-1.9,1.8,0.6,"221.21",44
-1.9,1.8,0.7,"195.86",42
-1.9,1.8,0.8,"193.54",40
-1.9,1.8,0.9,"186.45",39
-1.9,1.8,1,"174.11",38
-1.9,1.9,0.1,"482.41",53
-1.9,1.9,0.2,"418.94",50
-1.9,1.9,0.3,"289.65",43
-1.9,1.9,0.4,"199.63",42
-1.9,1.9,0.5,"190.07",40
-1.9,1.9,0.6,"167.22",40
-1.9,1.9,0.7,"168.00",39
-1.9,1.9,0.8,"158.40",37
-1.9,1.9,0.9,"154.24",36
-1.9,1.9,1,"153.54",36
-1.9,2,0.1,"488.73",53
-1.9,2,0.2,"425.21",50
-1.9,2,0.3,"296.89",43
-1.9,2,0.4,"213.42",42
-1.9,2,0.5,"177.05",40
-1.9,2,0.6,"160.94",38
-1.9,2,0.7,"157.10",37
-1.9,2,0.8,"155.52",36
-1.9,2,0.9,"149.92",35
-1.9,2,1,"157.99",35
-1.8,0.1,0.1,"639.90",67
-1.8,0.1,0.2,"570.79",63
-1.8,0.1,0.3,"516.11",58
-1.8,0.1,0.4,"366.59",56
-1.8,0.1,0.5,"296.54",51
-1.8,0.1,0.6,"301.66",48
-1.8,0.1,0.7,"300.81",48
-1.8,0.1,0.8,"297.32",47
-1.8,0.1,0.9,"193.17",46
-1.8,0.1,1,"174.30",41
-1.8,0.2,0.1,"637.86",66
-1.8,0.2,0.2,"569.88",62
-1.8,0.2,0.3,"518.82",58
-1.8,0.2,0.4,"371.69",56
-1.8,0.2,0.5,"300.88",51
-1.8,0.2,0.6,"302.01",48
-1.8,0.2,0.7,"301.65",48
-1.8,0.2,0.8,"300.33",47
-1.8,0.2,0.9,"196.00",44
-1.8,0.2,1,"177.45",41
-1.8,0.3,0.1,"649.51",66
-1.8,0.3,0.2,"581.42",62
-1.8,0.3,0.3,"522.92",58
-1.8,0.3,0.4,"373.30",56
-1.8,0.3,0.5,"303.93",51
-1.8,0.3,0.6,"304.12",48
-1.8,0.3,0.7,"305.63",48
-1.8,0.3,0.8,"304.35",45
-1.8,0.3,0.9,"199.59",44
-1.8,0.3,1,"178.05",41
-1.8,0.4,0.1,"654.57",66
-1.8,0.4,0.2,"582.92",62
-1.8,0.4,0.3,"531.05",58
-1.8,0.4,0.4,"374.64",56
-1.8,0.4,0.5,"304.60",51
-1.8,0.4,0.6,"306.62",48
-1.8,0.4,0.7,"308.70",46
-1.8,0.4,0.8,"309.56",45
-1.8,0.4,0.9,"199.83",44
-1.8,0.4,1,"178.27",41
-1.8,0.5,0.1,"658.63",66
-1.8,0.5,0.2,"588.73",62
-1.8,0.5,0.3,"534.43",58
-1.8,0.5,0.4,"376.36",56
-1.8,0.5,0.5,"307.50",51
-1.8,0.5,0.6,"205.98",46
-1.8,0.5,0.7,"211.24",46
-1.8,0.5,0.8,"209.24",45
-1.8,0.5,0.9,"200.07",44
-1.8,0.5,1,"178.49",41
-1.8,0.6,0.1,"642.21",64
-1.8,0.6,0.2,"574.18",62
-1.8,0.6,0.3,"519.83",58
-1.8,0.6,0.4,"364.80",56
-1.8,0.6,0.5,"294.58",49
-1.8,0.6,0.6,"200.62",46
-1.8,0.6,0.7,"203.14",46
-1.8,0.6,0.8,"199.80",45
-1.8,0.6,0.9,"191.16",44
-1.8,0.6,1,"170.24",41
-1.8,0.7,0.1,"635.51",63
-1.8,0.7,0.2,"565.51",61
-1.8,0.7,0.3,"516.60",56
-1.8,0.7,0.4,"249.50",54
-1.8,0.7,0.5,"201.00",49
-1.8,0.7,0.6,"202.24",46
-1.8,0.7,0.7,"203.14",46
-1.8,0.7,0.8,"199.80",45
-1.8,0.7,0.9,"191.43",44
-1.8,0.7,1,"173.09",41
-1.8,0.8,0.1,"647.25",63
-1.8,0.8,0.2,"564.96",59
-1.8,0.8,0.3,"532.91",56
-1.8,0.8,0.4,"256.88",54
-1.8,0.8,0.5,"203.86",49
-1.8,0.8,0.6,"205.10",46
-1.8,0.8,0.7,"205.53",46
-1.8,0.8,0.8,"202.35",45
-1.8,0.8,0.9,"195.86",44
-1.8,0.8,1,"174.10",41
-1.8,0.9,0.1,"465.72",63
-1.8,0.9,0.2,"402.40",59
-1.8,0.9,0.3,"380.82",56
-1.8,0.9,0.4,"258.16",54
-1.8,0.9,0.5,"205.09",49
-1.8,0.9,0.6,"205.24",46
-1.8,0.9,0.7,"205.77",46
-1.8,0.9,0.8,"205.64",45
-1.8,0.9,0.9,"195.86",44
-1.8,0.9,1,"174.39",41
-1.8,1,0.1,"446.15",60
-1.8,1,0.2,"396.06",58
-1.8,1,0.3,"370.03",55
-1.8,1,0.4,"252.63",53
-1.8,1,0.5,"204.85",48
-1.8,1,0.6,"212.18",46
-1.8,1,0.7,"210.00",46
-1.8,1,0.8,"206.62",45
-1.8,1,0.9,"197.18",44
-1.8,1,1,"181.88",41
-1.8,1.1,0.1,"460.57",60
-1.8,1.1,0.2,"404.97",58
-1.8,1.1,0.3,"379.25",55
-1.8,1.1,0.4,"259.74",53
-1.8,1.1,0.5,"206.66",48
-1.8,1.1,0.6,"212.61",46
-1.8,1.1,0.7,"210.38",46
-1.8,1.1,0.8,"203.93",44
-1.8,1.1,0.9,"201.41",43
-1.8,1.1,1,"181.88",41
-1.8,1.2,0.1,"464.33",60
-1.8,1.2,0.2,"407.91",58
-1.8,1.2,0.3,"384.74",55
-1.8,1.2,0.4,"261.28",53
-1.8,1.2,0.5,"210.17",48
-1.8,1.2,0.6,"213.58",46
-1.8,1.2,0.7,"210.75",46
-1.8,1.2,0.8,"205.67",44
-1.8,1.2,0.9,"202.02",43
-1.8,1.2,1,"186.22",41
-1.8,1.3,0.1,"471.46",59
-1.8,1.3,0.2,"387.01",54
-1.8,1.3,0.3,"324.88",50
-1.8,1.3,0.4,"216.83",48
-1.8,1.3,0.5,"201.07",45
-1.8,1.3,0.6,"201.39",45
-1.8,1.3,0.7,"199.18",45
-1.8,1.3,0.8,"192.31",43
-1.8,1.3,0.9,"192.68",42
-1.8,1.3,1,"173.74",40
-1.8,1.4,0.1,"475.73",59
-1.8,1.4,0.2,"394.51",54
-1.8,1.4,0.3,"334.33",50
-1.8,1.4,0.4,"223.76",48
-1.8,1.4,0.5,"200.81",44
-1.8,1.4,0.6,"201.73",45
-1.8,1.4,0.7,"199.18",45
-1.8,1.4,0.8,"196.15",43
-1.8,1.4,0.9,"193.01",42
-1.8,1.4,1,"174.25",40
-1.8,1.5,0.1,"483.58",59
-1.8,1.5,0.2,"397.23",54
-1.8,1.5,0.3,"336.56",50
-1.8,1.5,0.4,"224.95",48
-1.8,1.5,0.5,"202.96",44
-1.8,1.5,0.6,"204.06",45
-1.8,1.5,0.7,"202.53",44
-1.8,1.5,0.8,"197.86",43
-1.8,1.5,0.9,"197.17",42
-1.8,1.5,1,"162.74",41
-1.8,1.6,0.1,"489.28",59
